"last_name, first_name","player_id","year","r_total_caught_stealing","r_total_stolen_base","r_caught_stealing_2b","r_pickoff_1b","r_stolen_base_2b","r_stolen_base_pct","r_total_pickoff","rel_league_reaction_distance","rel_league_burst_distance","f_bootup_distance","n_bolts","hp_to_1b","sprint_speed"
"Springer III, George","543807","2024","1","15","0","0","14",,"0","-0.1","-1.2","32.3","1","4.45","28.1"
"Ozuna, Marcell","542303","2024","0","0","0","0","0",,"0",,,,,"4.84","25.7"
"Vaughn, Andrew","683734","2024","0","2","0","0","2",,"0",,,,,"4.67","26.4"
"Alonso, Pete","624413","2024","0","3","0","0","3",,"0",,,,,"4.64","26.1"
"Bell, Josh","605137","2024","1","0","1","0","0",,"0",,,,,"4.76","25.4"
"Paredes, Isaac","670623","2024","1","0","1","0","0",,"0",,,,,"4.8","25.9"
"Bleday, JJ","668709","2024","3","1","3","1","1",,"1","-0.1","0.2","34.9",,"4.39","27.6"
"Merrill, Jackson","701538","2024","3","16","3","2","16",,"2","1.5","0.8","35.6",,"4.25","28.4"
"Perez, Salvador","521692","2024","0","0","0","0","0",,"0",,,,,"4.92","24.6"
"Tovar, Ezequiel","678662","2024","5","6","5","3","5",,"3",,,,,"4.37","28.1"
"Soto, Juan","665742","2024","4","5","3","0","5",,"0","1.2","0.2","34.1",,"4.37","26.7"
"Ohtani, Shohei","660271","2024","4","48","3","1","40",,"2",,,,"2","4.16","28.1"
"Santander, Anthony","623993","2024","0","2","0","1","2",,"1","-0.9","-1","32.2",,"4.7","26.1"
"Pasquantino, Vinnie","686469","2024","0","1","0","0","1",,"0",,,,,"4.67","25.6"
"Carroll, Corbin","682998","2024","6","28","3","0","24",,"1","2","0.9","34.7","80","4.09","29.5"
"Rutschman, Adley","668939","2024","0","1","0","0","1",,"0",,,,,"4.55","26.6"
"Profar, Jurickson","595777","2024","2","9","2","2","7",,"3","0","-2","30.5",,"4.43","26.5"
"Henderson, Gunnar","683002","2024","3","19","2","1","15",,"3",,,,"15","4.22","28.8"
"Bohm, Alec","664761","2024","2","5","1","1","5",,"1",,,,,"4.71","26.2"
"Machado, Manny","592518","2024","1","9","1","1","8",,"1",,,,,"4.72","25.8"
"Díaz, Yandy","650490","2024","0","0","0","1","0",,"1",,,,,"4.62","25.4"
"Bregman, Alex","608324","2024","0","3","0","0","2",,"0",,,,,"4.55","26.7"
"Arenado, Nolan","571448","2024","1","2","1","0","2",,"0",,,,,"4.71","25.4"
"Peña, Jeremy","665161","2024","6","17","6","3","17",,"3",,,,"96","4.22","29.8"
"Altuve, Jose","514888","2024","7","21","6","3","14",,"3",,,,"27","4.32","27.2"
